SerialNo,fileName
00﻿Seria,device not found in Vision DB
0018090847,No FOTA files available for this device
0018091011,No FOTA files available for this device
0018111112,No FOTA files available for this device
0018090968,No FOTA files available for this device
0018111090,No FOTA files available for this device
0018111027,No FOTA files available for this device
0018040029,No FOTA files available for this device
0018040077,No FOTA files available for this device
0018040360,No FOTA files available for this device
0018040050,No FOTA files available for this device
0018090929,No FOTA files available for this device
0018010003,No FOTA files available for this device
0018070492,No FOTA files available for this device
0018070575,No FOTA files available for this device
0018070535,No FOTA files available for this device
0018111085,No FOTA files available for this device
0018111043,No FOTA files available for this device
0018070637,No FOTA files available for this device
0018070748,No FOTA files available for this device
0018090926,No FOTA files available for this device
0018070689,No FOTA files available for this device
0018070463,No FOTA files available for this device
0018111205,No FOTA files available for this device
0018090995,No FOTA files available for this device
0018070716,No FOTA files available for this device
0018070655,No FOTA files available for this device
0018070423,No FOTA files available for this device
0018070764,No FOTA files available for this device
0018070431,No FOTA files available for this device
0018070646,No FOTA files available for this device
0018090872,No FOTA files available for this device
0018111193,No FOTA files available for this device
0018070551,No FOTA files available for this device
0018111049,No FOTA files available for this device
0018070807,No FOTA files available for this device
0018070720,No FOTA files available for this device
0018111204,No FOTA files available for this device
0018070675,No FOTA files available for this device
0018070482,No FOTA files available for this device
0018070417,No FOTA files available for this device
0018070636,No FOTA files available for this device
0018111076,No FOTA files available for this device
0018070522,No FOTA files available for this device
0018070526,No FOTA files available for this device
0018070781,No FOTA files available for this device
0018111218,No FOTA files available for this device
0018111070,No FOTA files available for this device
0018040386,No FOTA files available for this device
0018070416,No FOTA files available for this device
0018070739,No FOTA files available for this device
0018070620,No FOTA files available for this device
0018111048,No FOTA files available for this device
0018070714,No FOTA files available for this device
0018070647,No FOTA files available for this device
0018111105,No FOTA files available for this device
0018070554,No FOTA files available for this device
0018070656,No FOTA files available for this device
0018070528,No FOTA files available for this device
0018070673,No FOTA files available for this device
0018070803,No FOTA files available for this device
0018070657,No FOTA files available for this device
0018070507,No FOTA files available for this device
0018070573,No FOTA files available for this device
0018070591,No FOTA files available for this device
0018090890,No FOTA files available for this device
0018070548,No FOTA files available for this device
0018070627,No FOTA files available for this device
0018070457,No FOTA files available for this device
